#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
###### Overridden vanilla keys need to be loaded last to be taken into account;;;;;;;;;;;;;x
###### Renamed vanilla provinces;;;;;;;;;;;;;x
PROV1029;Mare Tyrrhenum;Mer Tyrrhénienne;Tyrrhenisches Meer;;Mar Tirreno;;;;;;;x
PROV1037;Mare Ionium;Mer Ionienne;Ionisches Meer;;Mar Jónico;;;;;;;x
PROV1109;Mare Adriaticum;Mer Adriatique;Adria;;Mar Adriático;;;;;;;x
###### Renmed traits;;;;;;;;;;;;;x
varangian;Guard Veteran;Garde vétéran;;;;;;;;;;x
varangian_desc;This character is a veteran of an elite military order.;Ce personnage est un vétéran d'un ordre militaire d'élite.;;;;;;;;;;x
###### Renamed titles;;;;;;;;;;;;;x
k_cyprus_adj;Cypriot;Cypriote;;;;;;;;;;x
k_dacia;Dacia;Dacie;;;;;;;;;;x
k_dacia_adj;Dacian;Dace;;;;;;;;;;x
d_toulouse;Tolosa;Tolosa;;;;;;;;;;x
d_toulouse_adj;Tolosan;Toulousain;;;;;;;;;;x
e_tartaria;Scythia;Scythie;Tatarei;;Tartaria;;;;;;;x
e_tartaria_adj;Scythian;Scythe;tartarisch;;Tártaro;;;;;;;x
e_byzantium;Eastern Roman Empire;Empire Romain d'Orient;Byzantinisches Kaiserreich;;Imperio Bizantino;;;;;;;x
e_byzantium_adj;Roman;Romain;Byzantinischer;;Bizantina;;;;;;;x
###### Religions;;;;;;;;;;;;;x
paulician_DESC;Paulicians were a Christian Adoptionist sect, also accused by medieval sources of being Gnostic and quasi Manichaean Christian. They flourished between 650 and 872 in Armenia and the Eastern Themes of the Byzantine Empire. According to medieval Byzantine sources, the group's name was derived from the 3rd century Bishop of Antioch, Paul of Samosata.;;;;;;;;;;;x
buy_indulgence_for_sins_desc;Send a letter to our religious head in the hope of getting our sins forgiven and increasing our piety.;Envoyons une lettre au chef religieux en espérant que nos péchés seront pardonnés et que notre piété s’améliorera.;;;;;;;;;;;;x
indulgence_ask;The religious head will hear our plea for salvation.;Le chef religieux entendra notre plaidoyer pour le salut.;;;;;;;;;;;x
EVTDESC39251;[From.GetTitledFirstName] has granted us absolution!;[From.GetTitledFirstName] nous a accordé l'absolution !;[From.GetTitledFirstName] hat uns die Absolution erteilt!;;¡[From.GetTitledFirstName] nos ha concedido la absolución!;;;;;;;;;x
EVTOPTA39251;Glory to [Root.Religion.GetHighGodName]!;Gloire à [Root.Religion.GetHighGodName] !;Ehre sei [Root.Religion.GetHighGodName]!;;¡Gloria a [Root.Religion.GetHighGodName]!;;;;;;;;;x
###### Cultures;;;;;;;;;;;;;x
basque;Vascon;vascon;;;;;;;;;;;;x
ethiopian;Ge'ez;ge'ez;;;;;;;;;;x;;
emperor_female_persian;Banbishnan;Banbishn;;;;;;;;;;x
king_vandalic;Ricus;;;;;;;x
king_female_vandalic;Rica;;;;;;;x
kingdom_of_vandalic;Ric of;;;;;;;x
duke_vandalic;Froja;;;;;;;x
duke_female_vandalic;Froja;;;;;;;x
count_vandalic;Baudes;;;;;;;x
duchy_of_vandalic;Frojadom of;;;;;;;x
county_of_vandalic;Baudesi of;;;;;;;x
title_councilmember_king_vandalic;Rit;Rit;Rit;;Rit;;;;;;;;;x
title_councilmember_emperor_vandalic;Rit;Rit;Rit;;Rit;;;;;;;;;x
###### Events;;;;;;;;;;;;;x
EVTDESC_TOG_6004;With the power and strength of the Zoroastrian faith, [From.GetTitledFirstName] has ordered the institution of the office of the Moabadan-Moabad, or the ?Priest of Priests.?\n\nThe Moabadan-Moabad will serve as the highest religious authority in the Zoroastrian world, with powers ranging from the blessing of future military expeditions to the granting of divorces to married couples.;Après un intermède de plusieurs siècles à la suite des invasions arabes, le zoroastrisme est redevenu religion d'état en Perse. [From.GetTitledFirstName] a ordonné le rétablissement de la fonction de Moabadan-Moabad, le ?prêtre des prêtres?.\n\nLe Moabadan-Moabad sera la plus haute autorité religieuse du monde zoroastrien. Ses pouvoirs vont de la bénédiction des futures expéditions militaires à la possibilité d'accorder le divorce aux couples mariés.;Nach einem Intermezzo, das nach der arabischen Eroberung einige Jarhunderte andauerte, ist der zoroastrische Glaube als Staatsreligion nach Persien zurückgekehrt. [From.GetTitledFirstName] hat die erneute Etablierung des Amtes des Moabadan-Moabads angeordnet, oder des ?Priesters der Priester.?\n\nDer Moabadan-Moabad wird als die höchste religiöse Autorität in der zoroastrischen Welt dienen, mit Machtbefugnissen wie die Segnung zukünftiger, militärischer Expeditionen oder die Erlaubnis von Scheidungen von verheirateten Paaren.;;Después de un interludio de unos pocos siglos tras la conquista Árabe, el Zoroastrismo ha vuelto como la religión oficial de Persia. [From.GetTitledFirstName] ha ordenado el restablecimiento del cargo de Moabadan-Moabad, o el Sacerdote de Sacerdotes.\n\nEl Moabadan-Moabad servirá como la máxima autoridad religiosa en el mundo de Zoroastro, con poderes que van desde la bendición de futuras expediciones militares a la concesión de divorcios a las parejas casadas.;;;;;;;x
EVTDESC_TOG_702;[From.GetTitledFirstName] has declined your invitation to attend the Beltane festival! Apparently [From.GetSheHe] has no faith in Cenurios, Lugh and the other gods, and instead follows the strange rituals of some other religion that is foreign to our ways.;[From.GetTitledFirstName] a décliné votre invitation pour votre festival de Beltane ! [From.GetSheHe] ne croit apparemment pas en Cenurios, Lugh ou en un autre de vos dieux et préfère suivre de bizarres rituels religieux qui vous sont étrangers.;;;;;;;;;;x
EVTOPTC_NE_1;I shall make [invited_character.GetFirstName] into the court poet.;J'en ferai un poète de la cour.;;;Nombraré poeta a [invited_character.GetFirstName].;;;;;;;;;x
###### Decisions;;;;;;;;;;;;;x
employ_soldier;Invite Warrior to Court;Inviter un guerrier à la Cour;Befehlshaber befördern;;Ascender comandante;;;;;;;;;x
employ_steward;Invite Steward to Court;Inviter un intendant à la Cour;Adligen an den Hof einladen;;Invitar a un noble a la corte;;;;;;;;;x
###### Loading steps;;;;;;;;;;;;;x
LOADING_MAP_SPRITES;Destroying Rome...;Destruction de Rome...;;;;;;;;;;;;;x
LOADING_GUI_DEF;Pillaging Monasteries..;Pillage des monastères...;;;;;;;;;;;;;x
LOADING_DATABASES;Preserving Latin...;Préservation du Latin...;;;;;;;;;;;;;x
INIT_MAP_LOGIC;Stamping out the Light...;Élimination de la lumière...;;;;;;;;;;;;;x
CREATING_CHKSUM;Spreading Christianity...;Propagation de la Chrétienté...;;;;;;;;;;;;;x
CALC_PATHS;Tracing Migration Routes...;Calquage des routes migratoires...;;;;;;;;;;;;;x
GENERATING_COAS;Invading the Limes...;Invasion des Limes...;;;;;;;;;;;;;x
LOADING_HISTORY;Creating the Dark Ages...;Création de l'Âge sombre...;;;;;;;;;;;;;x
LOAD_EVENTS;Spreading the Plague...;Propagation de la peste...;;;;;;;;;;;;;x
LOADING_SOUNDS;Beginning the Chants...;Commencement des chants...;;;;;;;;;;;;;x
PROC_FLAGS;Filling the Library of Alexandria...;Remplissage de la bibliothèque d'Alexandrie...;;;;;;;;;;;;;x
LOAD_FLAGS;Receiving the Byzantine Heralds...;Réception des hérauts Byzantins...;;;;;;;;;;;;;x
LOAD_GFX;Drawing Maps of Old Rome...;Dessin des cartes de l'ancienne Rome...;;;;;;;;;;;;;x
CREATING_THE_WORLD;Crossing the Rhine...;Traversée du Rhin...;;;;;;;;;;;;;x
CREATING_TREES;Building Huts...;Construction de cabanes...;;;;;;;;;;;;;x
CREATING_BORDERS;Building Ships...;Construction de navires...;;;;;;;;;;;;;x
CREATING_RIVERS;Conquering the Saxon Shore...;Conquête de la Côte saxonne...;;;;;;;;;;;;;x
MAP_PROPERLY_INIT;Receiving Mediterranean Merchants...;Réception des marchands méditerranéens...;;;;;;;;;;;;;x
CREATING_PROVINCE;Summoning the Heralds...;Convocation des hérauts...;;;;;;;;;;;;;x
CREATING_TEXTS;Writing Bibles...;Écriture des Bibles...;;;;;;;;;;;;;x
ADAPTING_HISTORY;Making the world stop making sense...;Création d'un monde qui n'a aucun de sens...;;;;;;;;;;;;;x
LOAD_CITY;Founding Tolosa...;Fondation de Toulouse...;;;;;;;;;;;;;x
LOAD_GFX_PDXMAP_SHADERS;Gathering the High Council...;Assemblement du Haut Conseil...;;;;;;;;;;;;;x
LOAD_GFX_PDXMAP_TERRAIN;Crossing the Dividing Sea...;Traversée de la mer divisée...;;;;;;;;;;;;;x
LOAD_GFX_PDXMAP_BORDERS;Celebrating the Blot...;Célébration du Blòt...;;;;;;;;;;;;;x
LOAD_GFX_PDXMAP_TEXTURES;Wandering the Steppes...;Errant les Steppes...;;;;;;;;;;;;;x
LOAD_GFX_PDXMAP_TREES;Spreading the Plague..;Propagation de la peste...;;;;;;;;;;;;;x
LOAD_GFX_PDXMAP_RIVERS;Preparing Islam...;Préparation de l'Islam...;;;;;;;;;;;;;x
LOAD_GFX_PDXMAP_STATIC_OBJECTS;Gathering the High Council...;Assemblement du Haut Conseil...;;;;;;;;;;;;;x
LOAD_INIT;Destroying Rome...;Destruction de Rome...;;;;;;;;;;;;;x
###### Loading quotes;;;;;;;;;;;;;x
LOADING_TIP_0;Oh, how the world no longer makes sense!;Oh, comment, le monde n'a plus de sens!;;;;;;;;;;;;;x
LOADING_TIP_1;With the arrival of the barbarians, the Dark Ages must also begin...;Avec l'arrivée des Barbares, l'Age des ténèbres doit également commencer ...;;;;;;;;;;;;;x
LOADING_TIP_2;Syragius of Soissons, the last Roman ruler in Gaul, refused subjugation to Odoacer and instead chose to govern Northern Gaul as an independent Roman province.;Syragius de Soissons, le dernier souverain romain en Gaule, a refusé l'assujettissement à Odoacre et a plutôt choisi de gouverner la Gaule du Nord comme une province romaine indépendante.;;;;;;;;;;;;;x
LOADING_TIP_3;While the Germanic Arians control great kingdoms, the native Chalcedonian Christians are heavily resistant to conversion.;Alors que les ariens germaniques contrôlent de grands royaumes, les chrétiens chalcédoniens d'origine font fortement de la résistance à la conversion.;;;;;;;;;;;;;x
LOADING_TIP_4;The Hepthalites may look strong, but they are just the beginning of the terror from the Steppes...;Les Hephthalites peuvent paraître forts, mais ils ne sont que le début de la terreur des Steppes...;;;;;;;;;;;;;x
LOADING_TIP_5;The Saxon Invasion of Britain has begun, and Arthur is nowhere to be found.;L'invasion saxonne de la Britannia a commencé, et Arthur est introuvable.;;;;;;;;;;;;;x
LOADING_TIP_6;The Emperor in the East, Zeno, a native of Southern Anatolia, is viewed as distrustful and barbaric by the proper Greeks.;L'empereur d'Orient, Zénon, originaire de l'Anatolie du Sud, est considéré comme méfiant et barbare par les véritables Grecs.;;;;;;;;;;;;;x
LOADING_TIP_7;Beneath the guise of the Kingdom of Italy, the Roman Senate continues to function. Perhaps they, too, will gain independence?;Sous le couvert du Royaume d'Italie, le Sénat romain continue de fonctionner. Peut-être, eux aussi, vont accéder à l'indépendance?;;;;;;;;;;;;;x
LOADING_TIP_8;Thank Zusk, Ekorovin, Joemit, Erik W, AnaxXiphos, and everyone else for making this possible.;Merci à Zusk, Ekorovin, Joemit, Erik W, AnaxXiphos, et tous les autres d'avoir rendu cela possible.;;;;;;;;;;;;;x
LOADING_TIP_9;If you don't like your current home, migrate. The grass is always greener on the other side.;Si vous n'aimez votre domaine actuel, migrer. L'herbe est toujours plus verte ailleurs.;;;;;;;;;;;;;x
LOADING_TIP_10;Clovis, son of the Chieftain of Salia, has a bright future...;Clovis, fils du chef de clan de Salia, a un bel avenir...;;;;;;;;;;;;;x
LOADING_TIP_11;The Bolghar tribes of the Steppes violently fight and migrate, occasionally busting into a bordering nation, raiding, and leaving ashes in their wake.;;;;;;;;;;;;;;x
LOADING_TIP_12;Chalcedonians must be wary, for relations between the Patriarchs of Constantinople and Rome have been tense.;Les chalcédoniens doivent se méfier, car les relations entre les Patriarches de Constantinople et de Rome ont été tendues.;;;;;;;;;;;;;x
