#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x,,,,,,,
#Demand Religious Conversion;;;;;;;;;;;;;;x,,,,,,,
demand_vassal_religious_conversion;Demand Religious Conversion;Exiger une conversion religieuse;Religiöse Konversion fordern;;Solicitar conversión religiosa;;;;;;;;;x,,,,,,,
demand_vassal_religious_conversion_named;Demand that [Root.GetFirstName] embrace the [From.Religion.GetName] faith.;Exigez que [Root.GetFirstName] se convertisse à la foi [From.Religion.GetName];Fordern, dass [Root.GetFirstName] den [From.Religion.GetName]-Glauben annimmt;;Exige que [Root.GetFirstName] adopte el [From.Religion.GetName].;;;;;;;;;x,,,,,,
demand_vassal_religious_conversion_desc;You can demand that one of your subjects converts to the true faith, but if they refuse their opinion of you will be lowered.;Vous pouvez exiger qu’un de vos sujets se convertisse à la vraie foi, mais s’il refuse, l’opinion qu’il a de vous diminuera.;Ihr könnt von Euren Untertanen fordern, dass sie zum Wahren Glauben übertreten. Wenn sie ablehnen, sinkt jedoch ihre Meinung über Euch.;;Puedes exigir que uno de tus súbditos se convierta a la fe verdadera, pero si se niega, la opinión que tenga de ti bajará.;;;;;;;;;x
demand_vassal_religious_conversion_tooltip;[Root.GetFirstName] and the same faith members of [Root.GetHerHis] court receive an event.\n;[Root.GetFirstName] et ceux de la même foi de la cour de [Root.GetHerHis] vont recevoir un événement \n;;;;;;;;;;;;x,,,,,,,
demand_courtier_religious_conversion;Demand Religious Conversion;Exiger une conversion religieuse;Religiöse Konversion fordern;;Solicitar conversión religiosa;;;;;;;;;x,,,,,,,
demand_courtier_religious_conversion_named;Demand that [Root.GetFirstName] embrace the [From.Religion.GetName] faith.;Exigez que [Root.GetFirstName] se convertisse à la foi [From.Religion.GetName];Fordern, dass [Root.GetFirstName] den [From.Religion.GetName]-Glauben annimmt;;Exige que [Root.GetFirstName] adopte el [From.Religion.GetName].;;;;;;;;;x,,,,,,
demand_courtier_religious_conversion_desc;You can demand that one of your subjects converts to the true faith, but if they refuse their opinion of you will be lowered.;Vous pouvez exiger qu’un de vos sujets se convertisse à la vraie foi, mais s’il refuse, l’opinion qu’il a de vous diminuera.;Ihr könnt von Euren Untertanen fordern, dass sie zum Wahren Glauben übertreten. Wenn sie ablehnen, sinkt jedoch ihre Meinung über Euch.;;Puedes exigir que uno de tus súbditos se convierta a la fe verdadera, pero si se niega, la opinión que tenga de ti bajará.;;;;;;;;;x
demand_courtier_religious_conversion_tooltip;[Root.GetFirstName] and the same faith members of [Root.GetHerHis] court receive an event.\n;[Root.GetFirstName] et ceux de la même foi de la cour de [Root.GetHerHis] vont recevoir un événement \n;;;;;;;;;;;;x,,,,,,,
#Convert to spouse religion;;;;;;;;;;;;;;x,,,,,,,
convert_to_spouse_nicene;Convert to Nicene Christianity;Conversion au christianisme nicéen;;;;;;;;;;;;x,,,,,,,
convert_to_spouse_nicene_desc;The pillow talk of a spouse or concubine can be very persuasive. This White Christ does not sound very warlike though...;Les confidences sur l'oreiller d'un époux, d'une épouse ou d'une concubine peuvent être très persuasives. Cependant, ce Blanc-Jésus ne semble pas très belliqueux... ;Das Bettgeflüster einer Gemahlin oder Konkubine kann sehr überzeugend sein. Dieser weiße Christus klingt allerdings nicht sehr kriegerisch…;;La conversación de almohada de una esposa o concubina puede ser muy persuasiva. Porque este Cristo Blanco no suena muy belicoso…;;;;;;;;;x,,,,,
convert_to_spouse_arian;Convert to Arianism;Conversion à l'arianisme;;;;;;;;;;;;x,,,,,,,
convert_to_spouse_arian_desc;The pillow talk of a spouse or concubine can be very persuasive.;Les confidences sur l'oreiller d'un époux, d'une épouse ou d'une concubine peuvent être très persuasives.;;;;;;;;;;;;x,,,,,,
convert_to_spouse_insular;Convert to Insular Christianity;Conversion au christianisme insulaire;;;;;;;;;;;;x,,,,,,,
convert_to_spouse_insular_desc;The pillow talk of a spouse or concubine can be very persuasive. I have seen the artistic glory of the Insular masters, and it stirs my soul. Such beauty... there must be something to that.;Les confidences sur l'oreiller d'un époux, d'une épouse ou d'une concubine peuvent être très persuasives.;;;;;;;;;;;;x
convert_to_spouse_islamic;Convert to Islamic faith;Conversion à l'islam;;;;;;;;;;;;x,,
convert_to_spouse_islamic_desc;The pillow talk of a spouse or concubine can be very persuasive.;Les confidences sur l'oreiller d'un époux, d'une épouse ou d'une concubine peuvent être très persuasives.;;;;;;;;;;;;x,
convert_to_spouse_hepthalite;Convert to Hepthalite faith;Conversion au hephtalisme;;;;;;;;;;;;x,,
convert_to_spouse_hepthalite_desc;The pillow talk of a spouse or concubine can be very persuasive. Following a Most High God is so much simpler than chasing my current pantheon.;Les confidences sur l'oreiller d'un époux, d'une épouse ou d'une concubine peuvent être très persuasives.;;;;;;;;;;;;x,
convert_to_spouse_hypsistarian;Convert to Hypsistarianism;Conversion au hypsistarianisme;;;;;;;;;;;;x,,
convert_to_spouse_hypsistarian_desc;The pillow talk of a spouse or concubine can be very persuasive.;Les confidences sur l'oreiller d'un époux, d'une épouse ou d'une concubine peuvent être très persuasives.;;;;;;;;;;;;x,
convert_to_spouse_luciferian;Convert to Lucifarianism;;;;;;;;;;;x,,
convert_to_spouse_luciferian_desc;The pillow talk of a spouse or concubine can be very persuasive. This Bright Morning Star's call to enlightenment would be a radical turn from the old ways...;;;;;;;;;;;x,,
convert_to_spouse_sethian;Convert to Sethian Gnosticism;;;;;;;;;;;x,,
convert_to_spouse_sethian_desc;The pillow talk of a spouse or concubine can be very persuasive. Am I a sheep, lost in ignorance? Is there a great evil stopping me from truly attaining knowledge? My partner tells me a snake can wake me up...;;;;;;;;;;;x,
convert_to_spouse_egyptian;Convert to Egyptian Paganism;;;;;;;;;;;x,,
convert_to_spouse_egyptian_desc;The pillow talk of a spouse or concubine can be very persuasive. The pharaohs of the shifting sands built one of mankind's greatest civilizations. Their monuments are immortal. Truly, these gods are powerful. Should I make them mine?;;;;;;;;;;;x,
convert_to_spouse_antinomianism;Convert to Antinomianism;;;;;;;;;;;x,,
convert_to_spouse_antinomianism;The pillow talk of a spouse or concubine can be very persuasive. A God so loving and forgiving that He lets any sin I do slide in His grace... now THAT is a religion I want in on!;;;;;;;;;;;x,,
convert_to_spouse_ebionites;Become Ebionaioi;;;;;;;;;;;x,,
convert_to_spouse_ebionites;The White Christ, first and foremost, claimed to be the savior for the Jews, God's chosen. The Ebionaioi reject future developments from the White Christ's followers that discount that simple fact. I think they're on to something...;;;;;;;;;;;x
